Plot ID,Sowing date,Harvest date,Width,Length,Row,Column,Replicate,Rack,Accession,Ant_date_ymd 2019-08-27,BM_Calc_tha 2019-08-27,BM_M_gPlot 2019-08-27,GFP_calc_day 2019-08-27,GMoi_E_pct 2019-08-27,GYPR_Calc_gm2day 2019-08-27,GY_Calc_tha 2019-08-27,GY_M_gPlot 2019-08-27,HI_Calc_pct 2019-08-27,Mat_date_ymd 2019-08-27,PH_M_cm 2019-08-27,SN_Calc_Spksm2 2019-08-27,SpkGW_M_g 2019-08-27,StrawYld_E_tha 2019-08-27
50,2018-10-08,2019-08-27,1.5,4.0,2,5,1,1,PW141-36-10-13-Q7A-DTMA-P,2019-06-07T00:00:00,,76.8,53.0,9.64705882352942,17.0505210178283,9.03677613944899,,,2019-07-30T00:00:00,106.25,,,
51,2018-10-08,2019-08-27,1.5,4.0,2,6,1,1,PxW141-7-10-85-18,2019-06-07T00:00:00,,76.1,53.0,9.61995249406177,16.6752297820004,8.83787178446022,,,2019-07-30T00:00:00,110.5,,,
52,2018-10-08,2019-08-27,1.5,4.0,2,7,1,1,PW468-12-4-16-Q1A-LODG-P,2019-06-03T00:00:00,,75.6,57.0,9.78520286396182,13.8193623053217,7.87703651403337,,,2019-07-30T00:00:00,103.25,,,
53,2018-10-08,2019-08-27,1.5,4.0,2,8,1,1,DFW SEL 0064,2019-06-06T00:00:00,18.6145087246303,76.7,54.0,9.65842167255595,15.5515883381657,8.3978577026095,150.8,45.1145814635314,2019-07-30T00:00:00,85.0,556.887115557659,1.508,10.2166510220208
54,2018-10-08,2019-08-27,1.5,4.0,2,9,1,1,PW141-36-10-3-Q7A-DTMA-P,2019-06-07T00:00:00,,75.9,53.0,9.64285714285714,16.3063536010041,8.64236740853216,,,2019-07-30T00:00:00,106.5,,,
55,2018-10-08,2019-08-27,1.5,4.0,2,10,1,1,PW729-36-6-8-Q2B-MILDS-P,2019-06-06T00:00:00,,75.9,54.0,9.75029726516051,14.5642386190255,7.86468885427378,,,2019-07-30T00:00:00,121.0,,,
56,2018-10-08,2019-08-27,1.5,4.0,2,11,1,1,PW292-20-1-1-Q7A-ADTT-W,2019-06-03T00:00:00,,68.2,52.0,16.9305724725944,16.1640752011544,8.40531910460027,,,2019-07-25T00:00:00,109.25,,,
57,2018-10-08,2019-08-27,1.5,4.0,2,12,1,1,PW352-23-1-1-Q1A-MATU-W,2019-06-14T00:00:00,,77.4,46.0,8.29383886255924,20.3448769068968,9.35864337717255,,,2019-07-30T00:00:00,124.25,,,
58,2018-10-08,2019-08-27,1.5,4.0,2,13,1,1,PxW141-7-11-94-24,2019-06-07T00:00:00,,70.5,53.0,16.5680473372781,12.3960252000402,6.56989335602131,,,2019-07-30T00:00:00,104.25,,,
59,2018-10-08,2019-08-27,1.5,4.0,2,14,1,1,Paragon,2019-06-07T00:00:00,,70.1,53.0,15.947242206235,16.0031222459051,8.48165479032973,,,2019-07-30T00:00:00,108.0,,,
